"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"08/05/2009","33","PM2.5","San Francisco","06-075-0005","AQS","0","15","7","33","14"
"08/06/2009","27","PM2.5","San Francisco","06-075-0005","AQS","0","19",".","27","11"
"08/07/2009","65","PM2.5","San Francisco","06-075-0005","AQS","3","26",".","65","13"
"08/08/2009","80","PM2.5","San Francisco","06-075-0005","AQS","3","27",".","80","21"
"08/09/2009","65","PM2.5","San Francisco","06-075-0005","AQS","5","24",".","65","20"
"08/10/2009","61","PM2.5","San Francisco","06-075-0005","AQS","6","24",".","61","30"
"08/11/2009","30","PM2.5","San Francisco","06-075-0005","AQS","1","18","6","30","10"
"08/12/2009","42","PM2.5","San Francisco","06-075-0005","AQS","3","15",".","42","18"
"08/13/2009","43","PM2.5","San Francisco","06-075-0005","AQS","1","20",".","43","15"
"08/14/2009","61","PM2.5","San Francisco","06-075-0005","AQS","1","22",".","61","9"
"08/15/2009","71","PM2.5","San Francisco","06-075-0005","AQS","2","25",".","71","19"
"08/16/2009","71","PM2.5","San Francisco","06-075-0005","AQS","2","25",".","71","12"
"08/17/2009","55","PM2.5","San Francisco","06-075-0005","AQS","1","30","15","55","8"
"08/18/2009","45","PM2.5","San Francisco","06-075-0005","AQS","2","28",".","45","11"
"08/19/2009","46","PM2.5","San Francisco","06-075-0005","AQS","2","27",".","46","11"
"08/20/2009","52","PM2.5","San Francisco","06-075-0005","AQS","2","28",".","52","15"
"08/21/2009","45","PM2.5","San Francisco","06-075-0005","AQS","3","19",".","45","19"
"08/22/2009","46","PM2.5","San Francisco","06-075-0005","AQS","1","24",".","46","8"
"08/23/2009","63","PM2.5","San Francisco","06-075-0005","AQS","1","27","22","63","7"
"08/24/2009","59","PM2.5","San Francisco","06-075-0005","AQS","2","25",".","59","11"
"08/25/2009","58","PM2.5","San Francisco","06-075-0005","AQS","2","23",".","58","15"
"08/26/2009","37","PM2.5","San Francisco","06-075-0005","AQS","2","22",".","37","15"
"08/27/2009","44","PM2.5","San Francisco","06-075-0005","AQS","3","19",".","44","27"
"08/28/2009","60","PM2.5","San Francisco","06-075-0005","AQS","9","28",".","60","36"
"08/29/2009","62","PM2.5","San Francisco","06-075-0005","AQS","14","23","26","62","41"
"08/30/2009","35","PM2.5","San Francisco","06-075-0005","AQS","1","26",".","35","6"
"08/31/2009","31","PM2.5","San Francisco","06-075-0005","AQS",".","20",".","31","11"
"09/01/2009","52","PM2.5","San Francisco","06-075-0005","AQS","3","19",".","52","25"
"09/02/2009","60","PM2.5","San Francisco","06-075-0005","AQS","7","19",".","60","36"
