"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"10/28/2018","35","PM2.5","Oakland West","06-001-0011","AirNow",".","33",".",".","35","."
"10/29/2018","36","Ozone","Bethel Island","06-013-1002","AirNow",".","36",".",".","34","."
"10/30/2018","42","PM2.5","Oakland West","06-001-0011","AirNow",".","34",".",".","42","."
"10/31/2018","58","PM2.5","Oakland West","06-001-0011","AirNow",".","34",".",".","58","."
"11/01/2018","57","PM2.5","Oakland West","06-001-0011","AirNow",".","34",".",".","57","."
"11/02/2018","50","PM2.5","San Francisco","06-075-0005","AirNow",".","43",".",".","50","."
"11/03/2018","49","PM2.5","San Francisco","06-075-0005","AirNow",".","42",".",".","49","."
"11/04/2018","52","PM2.5","Laney College","06-001-0012","AirNow",".","36",".",".","52","."
"11/05/2018","43","PM2.5","San Francisco","06-075-0005","AirNow",".","40",".",".","43","."
"11/06/2018","54","PM2.5","Berkeley Aquatic Park","06-001-0013","AirNow",".","39",".",".","54","."
"11/07/2018","53","PM2.5","Berkeley Aquatic Park","06-001-0013","AirNow",".","39",".",".","53","."
"11/08/2018","92","PM2.5","Oakland","06-001-0009","AirNow",".","45",".",".","92","."
"11/09/2018","168","PM2.5","Oakland","06-001-0009","AirNow",".","61",".",".","168","."
"11/10/2018","180","PM2.5","Oakland West","06-001-0011","AirNow",".","48",".",".","180","."
"11/11/2018","167","PM2.5","Oakland West","06-001-0011","AirNow",".","58",".",".","167","."
"11/12/2018","167","PM2.5","Oakland West","06-001-0011","AirNow",".","87",".",".","167","."
"11/13/2018","164","PM2.5","San Francisco","06-075-0005","AirNow",".","64",".",".","164","."
"11/14/2018","186","PM2.5","Livermore","06-001-0007","AirNow",".","45",".",".","186","."
"11/15/2018","203","PM2.5","Oakland","06-001-0009","AirNow",".","50",".",".","203","."
"11/16/2018","245","PM2.5","San Pablo","06-013-1004","AirNow",".","54",".",".","245","."
